author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
American Psychological Association,"Publication Manual of the American Psychological Association, 6th Edition
",,,,,,,,,,
Edward M. Kennedy,"True Compass: A Memoir
",6.5 x 1.75 x 9.25 inches,0446539252,978-0446539258,English,532 pages,"September 14, 2009",Twelve,,,
Stieg Larsson,"The Girl with the Dragon Tattoo (Millennium Series)
",5.2 x 1 x 8 inches,0307454541,978-0307454546,English,600 pages,"June 23, 2009",Vintage Crime/Black Lizard,,,
W. Cleon Skousen,"The 5000 Year Leap
",5.48 x 0.74 x 8.3 inches,9780880801485,978-0880801485,English,337 pages,"January 1, 2007",National Center for Constitutional Studies,,,
Stephenie Meyer,"Eclipse (Twilight Sagas)
",5.5 x 1.75 x 8.25 inches,0316027650,978-0316027656,English,640 pages,"August 4, 2009","Little, Brown Books for Young Readers",670L,14 years and up,7 and up
Maurice Sendak,"Where the Wild Things Are
",9.24 x 10.4 x 0.43 inches,,,English,48 pages,"December 26, 2012",HarperCollins,AD740L,4 - 8 years,
Elizabeth Strout,"Olive Kitteridge
",5.17 x 0.7 x 7.94 inches,0812971833,978-0812971835,English,336 pages,"September 30, 2008",Random House Trade Paperbacks,,,
Charlaine Harris,"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)
",6.34 x 1.26 x 9.32 inches,0441017150,978-0441017157,English,312 pages,"May 5, 2009",Ace Books,,18 years and up,
Steven D. Levitt,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance
",6 x 0.97 x 9 inches,0060889578,978-0060889579,English,288 pages,"October 20, 2009",William Morrow,,,
Francis Chan,"Crazy Love: Overwhelmed by a Relentless God
",5.5 x 0.39 x 8.25 inches,1434768511,978-1434768513,English,205 pages,"May 1, 2008",David C. Cook,,,
Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, Book 5)
",6 x 1.25 x 8.63 inches,1423101472,978-1423101475,English,400 pages,"May 5, 2009",Disney Hyperion Books for Children,620L,10 - 14 years,5 - 9
Muriel Barbery,"The Elegance of the Hedgehog
",5.6 x 1 x 8.5 inches,1933372605,978-1933372600,English,325 pages,"September 2, 2008",Europa Editions,,,
James Patterson,"I, Alex Cross
",6.5 x 1.5 x 9.5 inches,0316018783,978-0316018784,English,400 pages,"November 16, 2009","Little, Brown and Company",,,
Stieg Larsson,"The Girl Who Played with Fire (Millennium)
",6.6 x 1.35 x 9.54 inches,0307269981,978-0307269980,English,503 pages,"July 28, 2009",Knopf,,,
Bill Simmons,"The Book of Basketball: The NBA According to The Sports Guy
",6.3 x 1.75 x 9.5 inches,034551176X,978-0345511768,English,736 pages,"October 27, 2009",ESPN,,,
Zhi Gang Sha,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes
",6.25 x 1.25 x 9.25 inches,143917766X,978-1439177662,English,368 pages,"October 20, 2009",Atria Books,,,
Mitch Albom,"Have a Little Faith: A True Story
",5.4 x 1.35 x 7.55 inches,9780786868728,978-0786868728,English,272 pages,"September 1, 2009",Hachette Books,,13 years and up,8 and up
Jeff Kinney,"Diary of a Wimpy Kid Do-it-yourself Book
",5.5 x 1 x 8 inches,0810979772,978-0810979772,English,224 pages,"October 1, 2008",Amulet Books,,8 - 12 years,3 - 7
Andre Agassi,"Open: An Autobiography
",6.62 x 1.41 x 9.51 inches,0307268195,978-0307268198,English,400 pages,"November 9, 2009",Knopf,,,
Seth Grahame-Smith,"Pride and Prejudice and Zombies
",5.2 x 0.9 x 8 inches,1594743347,978-1594743344,English,320 pages,"April 4, 2009",Quirk Books,1070L,,
Lifetime Television,"Cook Yourself Thin: Skinny Meals You Can Make in Minutes
",7.25 x 0.6 x 9.13 inches,1401341136,978-1401341138,English,240 pages,"April 28, 2009",Hachette Books,,18 years and up,
Lisa Lillien,"Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories
",7.51 x 0.93 x 9.12 inches,9780312556174,978-0312556174,English,352 pages,"April 14, 2009",St. Martin's Griffin,,,
Christopher McDougall,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen
",6.6 x 1.1 x 9.5 inches,0307266303,978-0307266309,English,304 pages,"May 5, 2009",Knopf,1040L,,
Bill O'Reilly,"A Bold Fresh Piece of Humanity
",6.3 x 1.05 x 9.55 inches,0767928822,978-0767928823,English,256 pages,"September 23, 2008",Broadway Books,,,
Ree Drummond,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl
",1 x 7.4 x 9.3 inches,9780061658198,,English,256 pages,"October 27, 2009",William Morrow Cookbooks,,,
Pat Conroy,"South of Broad
",6.6 x 1.5 x 9.52 inches,038541305X,978-0385413053,English,528 pages,"August 11, 2009",Nan A. Talese,,,
Jillian Michaels,"Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!
",6.4 x 1.15 x 9.5 inches,0307450732,978-0307450739,English,288 pages,"April 7, 2009",Harmony,,,
John Grisham,"Ford County: Stories
",5.74 x 1.1 x 8.6 inches,0385532458,978-0385532457,English,308 pages,"November 3, 2009",Doubleday,,,
Michelle Malkin,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies
",6 x 1.2 x 9 inches,1596981091,978-1596981096,English,256 pages,"July 27, 2009",Regnery Publishing,,,
Jeff Kinney,"Diary of a Wimpy Kid, Book 1
",5.75 x 1 x 8.25 inches,0810993139,978-0810993136,English,224 pages,"April 1, 2007",Amulet Books,950L,7 - 13 years,2 - 8
Neil Gaiman,"The Graveyard Book
",5.5 x 1.14 x 8.25 inches,0060530928,978-0060530921,English,320 pages,"September 30, 2008",HarperCollins,820L,10 - 13 years,5 - 6
Diana Gabaldon,"An Echo in the Bone (Outlander)
",6.52 x 2.05 x 9.55 inches,0385342454,978-0385342452,English,820 pages,"September 22, 2009",Delacorte Press,,,
Robert Jordan,"The Gathering Storm (Wheel of Time, Book 12)
",6.46 x 2.25 x 9.61 inches,0765302306,978-0765302304,English,784 pages,"October 27, 2009",Tor Books,,,
Michael Crichton,"Pirate Latitudes: A Novel
",6.13 x 1.05 x 9 inches,0061929379,978-0061929373,English,320 pages,"November 24, 2009",Harper,,,
,"The Official SAT Study Guide
",,,,,,,,,,
Janet Evanovich,"Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels)
",6.42 x 1.17 x 9.54 inches,0312383282,978-0312383282,English,308 pages,"June 23, 2009",St. Martin's Press,,,
Tatiana de Rosnay,"Sarah's Key
",5.64 x 0.89 x 8.26 inches,0312370849,978-0312370848,English,295 pages,"September 1, 2008",,HL610L,,
Charlaine Harris,"From Dead to Worse (Sookie Stackhouse/True Blood)
",4.19 x 0.87 x 6.75 inches,0441017010,978-0441017010,English,321 pages,"March 31, 2009",Ace Books,,,
Hilary Mantel,"Wolf Hall
",6.39 x 1.86 x 9.56 inches,0805080686,978-0805080681,English,560 pages,"October 13, 2009",Henry Holt and Co.,,,
Suzanne Collins,"The Hunger Games
",5.5 x 1.2 x 8.72 inches,0439023483,978-0439023481,English,384 pages,"September 14, 2008",Scholastic Press,810L,12 - 17 years,7 and up
Joe Torre,"The Yankee Years
",6.39 x 1.39 x 9.59 inches,0385527403,978-0385527408,English,512 pages,"February 3, 2009",Doubleday,,,
Sapphire,"Push: A Novel
",5.17 x 0.54 x 8 inches,9780679766759,978-0679766759,English,192 pages,"April 29, 1997",Vintage,,,
David Kessler,"The End of Overeating: Taking Control of the Insatiable American Appetite
",6 x 1.19 x 9 inches,1605297852,978-1605297859,English,336 pages,"April 28, 2009",Rodale Books,,,
Barbara Kingsolver,"The Lacuna: A Novel
",1.5 x 6.5 x 9.1 inches,0060852577,978-0060852573,English,507 pages,"November 3, 2009",Harper,,,
Nicholas D. Kristof,"Half the Sky: Turning Oppression into Opportunity for Women Worldwide
",6.57 x 1.1 x 9.54 inches,9780307267146,978-0307267146,English,320 pages,"September 8, 2009",Knopf,1170L,,
John Grisham,"The Associate
",6.44 x 1.26 x 9.55 inches,0385517831,978-0385517836,English,384 pages,"January 27, 2009",Doubleday,,,
Jeff Hertzberg,"Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking
",7.78 x 0.99 x 9.32 inches,0312362919,978-0312362911,English,242 pages,"November 13, 2007",Thomas Dunne Books,,,
Greg Mortenson,"Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition)
",5.06 x 0.68 x 7.75 inches,0142414123,978-0142414125,English,240 pages,"January 22, 2009",Puffin Books,910L,8 - 12 years,3 - 7
Vince Flynn,"Pursuit of Honor
",6.12 x 1.3 x 9.25 inches,1416595163,978-1416595168,English,448 pages,"October 13, 2009",Atria Books,,,
Malcolm Gladwell,"What the Dog Saw: And Other Adventures
",5.75 x 1.7 x 8.25 inches,9780316075848,978-0316075848,English,410 pages,"October 20, 2009","Little, Brown and Company",,,
Nicholas Sparks,"The Last Song
",5.75 x 1.25 x 8.5 inches,1615234837,978-0446547567,English,400 pages,"September 8, 2009",Grand Central Publishing,,,
Ayn Rand,"Atlas Shrugged
",6 x 2 x 9 inches,0452011876,978-0452011878,English,1192 pages,"August 1, 1999",NAL,990L,,
Aravind Adiga,"The White Tiger: A Novel
",5.5 x 0.9 x 8.44 inches,9781416562603,978-1416562603,English,304 pages,"October 14, 2008",Free Press,,,
Ron Hall,"Same Kind of Different As Me
",5.25 x 0.75 x 8.25 inches,,,English,245 pages,"March 11, 2008",Thomas Nelson Inc,,,
Sue Grafton,"U is for Undertow: A Kinsey Millhone Novel
",6.5 x 1.5 x 9.5 inches,039915597X,978-0399155970,English,416 pages,"December 1, 2009",Marian Wood Books/Putnam,,18 years and up,
Suzanne Collins,"Catching Fire (The Hunger Games)
",5.6 x 1.3 x 8.3 inches,0439023491,978-0439023498,English,391 pages,"September 1, 2009",Scholastic Press,820L,13 years and up,7 and up
Stieg Larsson,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)
",6.55 x 1.73 x 9.55 inches,9780307269997,978-0307269997,English,576 pages,"May 25, 2010",Knopf,,,
George W. Bush,"Decision Points
",6.4 x 1.7 x 9.5 inches,0307590615,978-0307590619,English,497 pages,"November 9, 2010",Crown Publishers,,,
Stieg Larsson,"The Girl Who Played with Fire (Millennium Series)
",5.2 x 1.1 x 8 inches,9780307454553,978-0307454553,English,630 pages,"March 23, 2010",Vintage Crime/Black Lizard,,,
Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)
",5.5 x 0.88 x 8.25 inches,9780810984912,978-0810984912,English,224 pages,"November 1, 2010",Harry N. Abrams,1000L,8 - 12 years,3 - 7
Suzanne Collins,"Mockingjay (The Hunger Games)
",5.9 x 1.3 x 8.3 inches,9780439023511,978-0439023511,English,391 pages,"September 1, 2010",Scholastic Press,800L,13 years and up,7 and up
Geneen Roth,"Women Food and God: An Unexpected Path to Almost Everything
",5.5 x 0.8 x 8.44 inches,9781416543077,978-1416543077,English,224 pages,"March 2, 2010",Scribner,,,
Mark Twain,"Autobiography of Mark Twain, Vol. 1
",7 x 2.49 x 10 inches,0520267192,978-0520267190,English,736 pages,"November 15, 2010",University of California Press,,,
Michael Lewis,"The Big Short: Inside the Doomsday Machine
",6.5 x 1.1 x 9.6 inches,0393072231,978-0393072235,English,288 pages,"March 15, 2010",W. W. Norton & Company,,,
Michael Pollan,"Food Rules: An Eater's Manual
",4.37 x 0.39 x 7.1 inches,014311638X,978-0143116387,English,140 pages,"December 29, 2009",Penguin Books,,,
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption
",6.4 x 1.4 x 9.6 inches,9781400064168,978-1400064168,English,473 pages,"November 16, 2010",Random House,1010L,,
Charlaine Harris,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)
",6.52 x 1.24 x 9.3 inches,9780441018642,978-0441018642,English,311 pages,"May 4, 2010",Ace Books,,,
Justin Halpern,"Sh*t My Dad Says
",0.65 x 5.75 x 7.35 inches,9780061992704,,English,176 pages,"May 4, 2010",It Books,,,
Stephenie Meyer,"The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)
",6 x 0.75 x 8.75 inches,031612558X,978-0316125581,English,192 pages,"June 5, 2010","Little, Brown Books for Young Readers",680L,14 years and up,7 and up
Keith Richards,"Life
",6.5 x 1.88 x 9.63 inches,031603438X,978-0316034388,English,576 pages,"October 26, 2010","Little, Brown and Company",,,
Abraham Verghese,"Cutting for Stone
",5.17 x 1.17 x 7.94 inches,9780375714368,978-0375714368,English,667 pages,"January 26, 2010",Vintage,,,
Jon Stewart,"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race
",8.5 x 1 x 10.5 inches,9780446579223,978-0446579223,English,256 pages,"September 21, 2010",Grand Central Publishing,,,
John Heilemann,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime
",6 x 1.41 x 9 inches,0061733636,978-0061733635,English,464 pages,"January 11, 2010",Harper,,,
Rebecca Skloot,"The Immortal Life of Henrietta Lacks
",6.36 x 1.24 x 9.52 inches,1400052173,978-1400052172,English,384 pages,"February 2, 2010",Crown,1140L,,
Rick Riordan,"The Lost Hero (Heroes of Olympus, Book 1)
",6 x 1.75 x 8.63 inches,9781423113393,978-1423113393,English,576 pages,"October 12, 2010",Disney-Hyperion,660L,10 - 14 years,5 - 9
Doug Lemov,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College
",,,,,,,,,,
,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)
",,0226320553,978-0226320557,English,283 pages,"January 1, 2003",University of Chicago Press,,,
John Grisham,"The Confession: A Novel
",6.44 x 1.5 x 9.53 inches,0385528043,978-0385528047,English,432 pages,"October 26, 2010",Doubleday,,,
Tony Hsieh,"Delivering Happiness: A Path to Profits, Passion, and Purpose
",6.5 x 1 x 9.25 inches,0446563048,978-0446563048,English,253 pages,"June 7, 2010",Grand Central Publishing,,,
,"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror
",9.15 x 6.14 x 2.11 inches,9781595230324,978-1595230324,English,932 pages,"February 27, 2007",Sentinel,,,
Chip Heath,"Switch: How to Change Things When Change Is Hard
",5.86 x 1.17 x 8.54 inches,0385528752,978-0385528757,English,305 pages,"February 16, 2010",Crown Business,,,
Garth Stein,"The Art of Racing in the Rain: A Novel
",5.31 x 0.76 x 8 inches,9780061537967,978-0061537967,English,321 pages,"May 22, 2018",,850L,,
Gary Chapman,"The 5 Love Languages: The Secret to Love That Lasts
",6 x 0.39 x 9 inches,9780802473158,978-0802473158,English,208 pages,"January 1, 2010",Northfield Publishing,,,
Glenn Beck,"Broke: The Plan to Restore Our Trust, Truth and Treasure
",7.38 x 1.3 x 9.13 inches,1439187193,978-1439187197,English,406 pages,"October 26, 2010",Threshold Editions,,,
Daniel H. Pink,"Drive: The Surprising Truth About What Motivates Us
",6.29 x 0.9 x 9.26 inches,9781594488849,978-1594488849,English,256 pages,"December 29, 2009",Riverhead Books,1140L,,
Rick Riordan,"The Red Pyramid (The Kane Chronicles, Book 1)
",6 x 1.63 x 8.63 inches,1423113381,978-1423113386,English,528 pages,"May 4, 2010",Disney-Hyperion,650L,10 - 14 years,5 - 9
Rick Riordan,"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)
",5.19 x 7.63 inches,1423113497,978-1423113492,English,1032 pages,"September 16, 2008",Hyperion Book CH,,10 - 14 years,5 - 9
Chris Cleave,"Little Bee
",,9781416589648,978-1416589648,English,271 pages,"January 1, 2008",Simon & Schuster,,,
Ina Garten,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips
",10.22 x 7.82 x 0.84 inches,0307238768,978-0307238764,English,256 pages,"October 26, 2010",Clarkson Potter,,,
Peter A. Lillback,"George Washington's Sacred Fire
",5.75 x 2.5 x 8.75 inches,0978605268,978-0978605261,English,1208 pages,"January 1, 2008",ISI Distributed Titles,,,
David Platt,"Radical: Taking Back Your Faith from the American Dream
",5.2 x 0.5 x 8 inches,9781601422217,978-1601422217,English,240 pages,"May 4, 2010",Multnomah,,,
Robert Jordan,"Towers of Midnight (Wheel of Time, Book Thirteen)
",6.43 x 1.73 x 9.41 inches,0765325942,978-0765325945,English,861 pages,"November 2, 2010",Tor Books,,,
Stacy Schiff,"Cleopatra: A Life
",,0316001929,978-0316001922,English,368 pages,"November 1, 2010","Little, Brown & Co.",1070L,,
Jonathan Franzen,"Freedom: A Novel
",6.41 x 1.79 x 9.28 inches,0374158460,978-0374158460,English,576 pages,"August 31, 2010","Farrar, Straus and Giroux",,,
Jonathan Franzen,"Freedom
",0.06 x 0.02 x 0.09 inches,0312600844,978-0312600846,English,576 pages,"August 31, 2010","Farrar, Straus and Giroux",,,
Ken Follett,"Fall of Giants (The Century Trilogy)
",6.25 x 1.75 x 9.5 inches,0525951652,978-0525951650,English,1008 pages,"September 28, 2010",Viking,,,
Elizabeth Gilbert,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia
",5.5 x 0.74 x 8.42 inches,0143118420,978-0143118428,English,352 pages,"June 29, 2010",Riverhead Books,1080L,,
,"Tao I: The Way of All Life
",6 x 1.5 x 9 inches,1439195811,978-1439195819,English,512 pages,"May 11, 2010",Atria Books,,,
Atul Gawande,"The Checklist Manifesto: How to Get Things Right
",5.82 x 0.83 x 8.56 inches,0805091742,978-0805091748,English,224 pages,"December 22, 2009",Metropolitan Books,,,
Chelsea Handler,"Chelsea Chelsea Bang Bang
",6 x 1 x 8.5 inches,0446552445,978-0446552448,English,256 pages,"March 9, 2010",Grand Central Publishing,,,
Colum McCann,"Let the Great World Spin: A Novel
",5.2 x 0.82 x 7.98 inches,9780812973990,978-0812973990,English,375 pages,"December 2, 2009",Random House Trade Paperbacks,,,
Jorge Cruise,"The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week
",7.25 x 1.25 x 7.5 inches,9781401927189,978-1401927189,English,336 pages,"December 29, 2009",Hay House,,,
Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)
",5.13 x 0.88 x 7.63 inches,1423101499,978-1423101499,English,400 pages,"April 7, 2009",Disney-Hyperion,590L,10 - 14 years,5 - 9
Timothy Ferriss,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich
",5.79 x 1.38 x 8.45 inches,0307465357,978-0307465351,English,448 pages,"December 15, 2009",Harmony,,,
Stephen King,"Full Dark, No Stars
",6.13 x 1.3 x 9.25 inches,9781439192566,978-1439192566,English,368 pages,"November 9, 2010",Scribner,,,
Janet Evanovich,"Sizzling Sixteen (Stephanie Plum Novels)
",6.37 x 1.19 x 9.55 inches,0312383304,978-0312383312,English,320 pages,"June 22, 2010",St. Martin's Press,,,
Stephen Hawking,"The Grand Design
",,,,,,,,,,
Glenn Beck,"The Overton Window 
",6 x 1.2 x 9 inches,1439184305,978-1439184301,English,321 pages,"June 15, 2010",Threshold Editions,,,
Sarah Young,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)
",6.1 x 4 x 1.1 inches,9781591451884,,English,416 pages,"October 10, 2004",Thomas Nelson,,,
Laura Bush,"Spoken from the Heart
",6.25 x 1.4 x 9.25 inches,1439155208,978-1439155202,English,464 pages,"May 4, 2010",Scribner,,,
Mark Nepo,"The Book of Awakening: Having the Life You Want by Being Present to the Life You Have
",5 x 1.01 x 9.25 inches,9781573241175,978-1573241175,English,436 pages,"May 31, 2000",Conari Press,,,
